"","Accumbens.Asymmetry","Accumbens.Left.cm3","Accumbens.Right.cm3","Accumbens.Total.cm3","Amygdala.Asymmetry","Amygdala.Left.cm3","Amygdala.Right.cm3","Amygdala.Total.cm3","Brainstem.cm3","Caudate.Asymmetry","Caudate.Left.cm3","Caudate.Right.cm3","Caudate.Total.cm3","Cerebelum.Assymetry","Cerebelum.L.GM.cm3","Cerebelum.L.WM.cm3","Cerebelum.Left.cm3","Cerebelum.R.GM.cm3","Cerebelum.R.WM.cm3","Cerebelum.Right.cm3","Cerebelum.T.GM.cm3","Cerebelum.T.WM.cm3","Cerebelum.Total.cm3","Cerebrum.Assymetry","Cerebrum.L.GM.cm3","Cerebrum.L.WM.cm3","Cerebrum.Left.cm3","Cerebrum.R.GM.cm3","Cerebrum.R.WM.cm3","Cerebrum.Right.cm3","Cerebrum.T.GM.cm3","Cerebrum.T.WM.cm3","Cerebrum.Total.cm3","Globus.Pallidus.Asymmetry","Globus.Pallidus.Left.cm3","Globus.Pallidus.Right.cm3","Globus.Pallidus.Total.cm3","Hippocampus.Asymmetry","Hippocampus.Asymmetry.1","Hippocampus.Left.cm3","Hippocampus.Right.cm3","Hippocampus.Total.cm3","Lateral.ventricles.Asymmetry","Lateral.ventricles.Left.cm3","Lateral.ventricles.Right.cm3","Lateral.ventricles.Total.cm3","Putamen.Asymmetry","Putamen.Left.cm3","Putamen.Right.cm3","Putamen.Total.cm3","QC","SNR","Scale.factor","Thalamus.Asymmetry","Thalamus.Left.cm3","Thalamus.Right.cm3","Thalamus.Total.cm3","Tissue.Brain.cm3","Tissue.CSF.cm3","Tissue.GM.cm3","Tissue.IC.cm3","Tissue.WM.cm3","mSNR"
"icc_session",0.527802458921772,0.781906669080913,0.833451365952025,0.845256682195668,6.80428443997597e-06,0.661803928350307,0.691231228285858,0.817567334764242,0.897904252907679,0.644466132917292,0.963416684612891,0.95823440358489,0.957581561030993,0.787270314551768,0.918073971117167,0.652976357609515,0.920712811710476,0.929305532127548,0.672561981293918,0.959312346491738,0.925621498323642,0.696952145567746,0.943671633183994,0.717459860843878,0.918205068271591,0.917880140278897,0.928146941974673,0.915345527308081,0.923382112800514,0.934707432857167,0.916376913890579,0.927092691333114,0.933701702662928,0.0097020043025489,0.665292000103901,0.749415122672366,0.771370551732445,0.658773743647491,0.652828808127708,0.888717093173462,0.884031491739446,0.904309642201503,0.988196795458855,0.983290593327396,0.962734000111795,0.981496787443782,0.261385694058614,0.944800931889907,0.912126565252342,0.884197955567573,0.364565081881412,0.43155990928053,0.921411535129571,0.718645375359138,0.935031885573547,0.907063137051845,0.952857636370006,0.930145485693895,0.879745459271099,0.920436641401312,0.93960384185141,0.910797939143531,0.408646876109772
"icc_scanner",0.280599328435787,0.382947549027277,0.683756001780623,0.593396543635023,0.0089896467478435,0.34181300806215,0.360876482589592,0.363782668286681,0.889434798248962,0.496311534842402,0.911092937560979,0.940904196738334,0.937777828551401,0.576800910004194,0.612363826499747,0.0578415013543716,0.752292889563832,0.648514564096504,0.0713548936986159,0.774283280130749,0.628404924812053,0.0734997228982126,0.749843920557545,0.592748152230876,0.820654794220509,0.897090677293735,0.875633895480463,0.803709420160472,0.907765866589932,0.867675959583613,0.803125203987244,0.909135287008144,0.866686039929458,1.15064804168574e-06,0.276813246582036,0.305310611196803,0.303346413029017,0.389150026160417,0.382297283101666,0.321109917660093,0.344098268920031,0.320687491866898,0.958136056987304,0.928461961707437,0.807362200475479,0.900503333329196,0.114798214248024,0.80849014172085,0.690955899410631,0.74121596773533,0.0916198006261183,0.00175004020658227,0.374427581633218,0.551632842497126,0.882232948390697,0.864343565937739,0.903278534431434,0.86000057685105,0.736413442746763,0.884362271684101,0.927466194256138,0.803248937190617,0.00140306407062873
"icc",0.271656494674588,0.405802623355407,0.673797225450035,0.576567670793943,3.95988423396514e-06,0.361821253252076,0.337003047506368,0.377325072023643,0.878861342076839,0.489854913252459,0.901899655517261,0.942548633565977,0.920391353776512,0.576793041773428,0.61728625298233,0.0639555084894516,0.740381495885117,0.648087600807072,0.0735552208305114,0.766338941784284,0.616753763316874,0.0772003826278632,0.738729753003895,0.57512561473225,0.821552249390497,0.892896328614293,0.869117975081746,0.790590308289878,0.898807646163038,0.850556641883425,0.802097276301539,0.899488024687804,0.865380787494183,2.64266674555729e-06,0.267289034365796,0.295566700380712,0.294332448625758,0.383186939371451,0.381055454626221,0.316233422423831,0.32944963136882,0.312042439295296,0.958166624441131,0.931708118145548,0.84436252510509,0.903611502348078,0.116514230446134,0.810483547511715,0.670508823867725,0.698563916339661,0.0873868116423283,0.00182361885434183,0.366932700709085,0.547759956636299,0.871331098013236,0.869577084350644,0.906677873918842,0.851898554016744,0.731631448429072,0.873348228923143,0.927536662514885,0.78895502362286,0.00158425538600171
