"","Accumbens.Asymmetry","Accumbens.Left.cm3","Accumbens.Right.cm3","Accumbens.Total.cm3","Amygdala.Asymmetry","Amygdala.Left.cm3","Amygdala.Right.cm3","Amygdala.Total.cm3","Brainstem.cm3","Caudate.Asymmetry","Caudate.Left.cm3","Caudate.Right.cm3","Caudate.Total.cm3","Cerebelum.Assymetry","Cerebelum.L.GM.cm3","Cerebelum.L.WM.cm3","Cerebelum.Left.cm3","Cerebelum.R.GM.cm3","Cerebelum.R.WM.cm3","Cerebelum.Right.cm3","Cerebelum.T.GM.cm3","Cerebelum.T.WM.cm3","Cerebelum.Total.cm3","Cerebrum.Assymetry","Cerebrum.L.GM.cm3","Cerebrum.L.WM.cm3","Cerebrum.Left.cm3","Cerebrum.R.GM.cm3","Cerebrum.R.WM.cm3","Cerebrum.Right.cm3","Cerebrum.T.GM.cm3","Cerebrum.T.WM.cm3","Cerebrum.Total.cm3","Globus.Pallidus.Asymmetry","Globus.Pallidus.Left.cm3","Globus.Pallidus.Right.cm3","Globus.Pallidus.Total.cm3","Hippocampus.Asymmetry","Hippocampus.Asymmetry.1","Hippocampus.Left.cm3","Hippocampus.Right.cm3","Hippocampus.Total.cm3","Lateral.ventricles.Asymmetry","Lateral.ventricles.Left.cm3","Lateral.ventricles.Right.cm3","Lateral.ventricles.Total.cm3","Putamen.Asymmetry","Putamen.Left.cm3","Putamen.Right.cm3","Putamen.Total.cm3","QC","SNR","Scale.factor","Thalamus.Asymmetry","Thalamus.Left.cm3","Thalamus.Right.cm3","Thalamus.Total.cm3","Tissue.Brain.cm3","Tissue.CSF.cm3","Tissue.GM.cm3","Tissue.IC.cm3","Tissue.WM.cm3","mSNR"
"icc_session",0.771544209168016,0.898731694253582,0.922150626429992,0.925372163840028,0.364144475720301,0.833905317434674,0.849656396381301,0.91569090437693,0.948783296629428,0.810495537228331,0.982436169086774,0.980630210250559,0.980333627536401,0.897737425088919,0.960841269684172,0.828764837134643,0.965020365277436,0.965921081508571,0.841858997154666,0.981073010429569,0.965760103415189,0.845087555859852,0.975240565895399,0.858867589476439,0.96074071397984,0.960240435368405,0.964203258899876,0.959221570464943,0.964110907697347,0.966787926721855,0.961108135891205,0.96437743850091,0.967795986231941,0.424421543146129,0.842447934463041,0.882284756900545,0.897770613264157,0.84239262577065,0.835743256506811,0.948028172769979,0.946103939215665,0.956135585690603,0.994516749121323,0.992290095646156,0.983102736453986,0.991537574935933,0.627009825151153,0.974135654388111,0.95782890150989,0.94820022300915,0.65723587426116,0.72683136914018,0.961574588879374,0.858592434978162,0.969439089865233,0.955858352673287,0.977734917605375,0.965677502189141,0.94292445523703,0.961581016220399,0.970978358127679,0.956388640948232,0.714710516913636
"icc_scanner",0.612179990080013,0.780160970321174,0.839354424050262,0.82948697724479,0.350731549758214,0.695139843836052,0.761686393873574,0.784036162972136,0.945497023985877,0.747169737466759,0.974648697569257,0.972435495175971,0.97938671864468,0.775664544376575,0.89267774495643,0.681037143390559,0.949220095898269,0.911295362042649,0.709944348122091,0.952526832205723,0.901269606278617,0.721035376904541,0.954525350656256,0.797051878744418,0.947872977432534,0.955055767977069,0.962769677539843,0.951406874517845,0.959418181948229,0.9660514930468,0.95197915694738,0.959691865841744,0.964827293344307,0.347439077524387,0.653830432882994,0.736967080688257,0.726090237370144,0.675057339282747,0.678295189577755,0.873281330942534,0.870929972406249,0.876261516005321,0.981465562160968,0.989134861161203,0.97544923118641,0.987606535689595,0.479765918912429,0.946840050756953,0.948490253082536,0.945444672808866,0.507512056730157,0.405606604936468,0.934596367424728,0.792747508984517,0.956912891547719,0.934868676490017,0.95817548684651,0.964335137272317,0.893791551594204,0.95141928612577,0.9679014869454,0.948318120656697,0.398041160425581
"icc",0.618442154332508,0.779683823776519,0.832300316245341,0.829640652412193,0.342251498255137,0.696797398675,0.74347599525728,0.783940093373828,0.942276155514012,0.722710242217915,0.971935374938974,0.972694924703058,0.968716545597063,0.781124491867856,0.887425452574611,0.664953128709653,0.925648047177647,0.909891193774743,0.706754154827616,0.947048786006255,0.903851799392387,0.707166436777987,0.939513366875613,0.786564370169509,0.947871662417906,0.949556163830453,0.960224701259267,0.948457748157422,0.956728615757,0.963433597052794,0.948493557395944,0.954608420161237,0.96162145318084,0.329727406728025,0.644101508044897,0.72298853843093,0.712457159361564,0.66546149104714,0.675548464232249,0.872755364999582,0.870951738812815,0.882979762359401,0.981064989390318,0.988989706971962,0.972909866426906,0.987532105296476,0.468054555854273,0.94627136090933,0.931651935580862,0.905431703501402,0.507760251638625,0.419808107391165,0.929473995532526,0.776283172664182,0.950872827111383,0.935581472644376,0.958044864175488,0.961435452130929,0.88871668218285,0.949552438867271,0.966837453205726,0.94371029162306,0.38875741012238
