"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",-1.1297287840177,2.01568201856562,0.029575372029526,-0.231045598100057,-0.811254373353529,-0.563388323753394,-0.318305369326242,0.222213869308107,-0.0246893816802016,-0.357724750501454,1.07632045322786,-0.754196195674319,0.731726216263047,-0.729454619427451
"pvalue",0.261971069802577,0.047675091103055,0.976481666202247,0.817899812051519,0.419761821301364,0.574866709942444,0.75112837750386,0.824744731354118,0.980368265310772,0.72156009007495,0.285023138458253,0.452960224690426,0.466970401605995,0.467865416272435
"mean_diff_male",-0.0168844666304029,0.0153507956621604,0.000108828277719446,-0.000759423975503765,-0.00449116586884869,-0.00147625064305208,-0.000309469439096605,0.000352684649745154,-2.12822183948585e-05,-0.00285697796405366,0.00744108770261714,-0.0163838321304714,0.00206257143243911,-0.00295752491130937
"mean_diff_female",0.0195504350457296,-0.0177746055035542,-0.000126011689990937,0.000879333024267517,0.0052002973218248,0.00170934284984977,0.000358333034743437,-0.000408371699704915,2.46425686677309e-05,0.0033080797478516,-0.0086159962872409,0.0189707529931775,-0.00238824060598213,0.00342450252888454
"lower_bound",-0.100617807979326,0.000348900536820014,-0.015574633236331,-0.0157651024809811,-0.0334858596626939,-0.0144513539210606,-0.00484647440505827,-0.00606042273669411,-0.00375140953262101,-0.0405004876586173,-0.0136322375117557,-0.128652549597362,-0.00769743087833571,-0.0237946043262088
"upper_bound",0.0277480046270605,0.0659019017946092,0.0160443131717518,0.0124875884814385,0.0141029332813469,0.00808016693525687,0.00351086945737819,0.00758253543559424,0.00365955995849583,0.0281703722348068,0.0457464054914717,0.0579433793500638,0.0165990549551782,0.011030549445821
"effsize",-0.248135116205811,0.429871764804423,0.006563480023165,-0.0514702288194653,-0.18085281612503,-0.125971411287436,-0.0709459033935878,0.0495268569195967,-0.00551226752620692,-0.0768650721410524,0.235169393333859,-0.166190691450159,0.166222833471621,-0.160645769943977
"eff_low",-0.690531609941095,-0.0158750279132381,-0.434150543353975,-0.492255645895872,-0.622460846705207,-0.567118798880815,-0.511796623264448,-0.391253183650219,-0.446225943120761,-0.517739754065673,-0.207056039849667,-0.607659575530347,-0.2752463428297,-0.60206508502198
"eff_up",0.194261377529473,0.875618557522085,0.447277503400305,0.389315188256941,0.260755214455147,0.315175976305943,0.369904816477273,0.490306897489412,0.435201408068347,0.364009609783568,0.677394826517385,0.275278192630029,0.607692009772942,0.280773545134027
"pwr",0.351972489765352,0.781187793526377,0.0501999627681945,0.0623844697112738,0.210247318094678,0.126280235951554,0.073671570953291,0.0614610159061472,0.05014103462138,0.0778443881816384,0.321930870067436,0.184768275801753,0.184821755487738,0.175700933955679
