"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",-1.58876537657425,1.27994675200986,-0.334857762373587,-0.485481983369659,0.402450058680886,-0.293785932387654,0.249416766407233,1.08476049690012,0.720056606295026,1.2658017078724,1.52865195064528,-1.0271228467322,-0.132137688487982,-0.436135780390857
"pvalue",0.11606896466965,0.204269893853075,0.738612050516758,0.628691824409829,0.688555674632307,0.769728285309916,0.803706106141237,0.281364527807075,0.473844182691125,0.209940099187775,0.13091199281752,0.307459400981603,0.895217955226925,0.663946131998093
"mean_diff_male",-0.0189156573763867,0.00909897333891152,-0.000960413411085966,-0.00146767473390123,0.00138450715864545,-0.000742256231525731,0.000206380632764801,0.000945521103753609,0.000503435176867419,0.00840867152886878,0.00765150093528501,-0.0251018359015829,-0.000295691378473637,-0.00139036043229484
"mean_diff_female",0.0219023401200267,-0.0105356533397923,0.00111205763388901,0.00169941284978037,-0.00160311355211578,0.000859454583871899,-0.000238967048464505,-0.00109481390960944,-0.000582924941635958,-0.00973635650711123,-0.00885963266190896,0.0290652836755171,0.00034237949086421,0.00160989102686771
"lower_bound",-0.0919481987266076,-0.0108941891073539,-0.0143898939166828,-0.0161540282393872,-0.0118132438837946,-0.0124615554777129,-0.00311045203352531,-0.0017041827719922,-0.00192171531320489,-0.0104640146692622,-0.0050356093732674,-0.159117195719343,-0.0102525649134499,-0.016696188617587
"upper_bound",0.0103122037337809,0.0501634424647616,0.0102449518267329,0.00981985307202403,0.0177884853053171,0.00925813384691761,0.00400114739598392,0.00578485279871831,0.00409443555021165,0.0467540707412223,0.0380578765676554,0.0507829565651431,0.00897642317477419,0.0106956856992619
"effsize",-0.349368394321121,0.281254424870553,-0.0730282029432182,-0.10753621379988,0.0904732534677027,-0.0655366638196813,0.0554927007171897,0.240351890484039,0.161894266439207,0.286408434355491,0.325616575712225,-0.225310207300884,-0.029332413774862,-0.0967269463758737
"eff_low",-0.793412686232527,-0.16162033567468,-0.513887133737251,-0.548565763994401,-0.350463788962005,-0.506367163194941,-0.385304502002017,-0.201940823673627,-0.279536063377465,-0.156546084445743,-0.117991564057399,-0.667411667056191,-0.470068828464619,-0.537696044890408
"eff_up",0.0946758975902856,0.724129185415785,0.367830727850815,0.33349333639464,0.531410295897411,0.375293835555579,0.496289903436397,0.682644604641704,0.603324596255879,0.729362953156725,0.769224715481849,0.216791252454423,0.411404000914894,0.344242152138661
"pwr",0.604050930104444,0.432697524387773,0.0750996382192367,0.10516244019633,0.0887757554749891,0.0701629974582181,0.064411936233021,0.333809784603595,0.177714951716602,0.445620585388016,0.544865573249069,0.299849865044433,0.05400286327829,0.0944324499926357
