"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",10.8837050792261,-1.72889333869539,-0.873055490297797,5.66902903452981,-4.21477777190896,3.51594715507078,-8.29215350033398,-7.42159554236925,-9.77837619289735,2.5740032324359,-7.77451688933981,5.21193026417305,-2.6870058056075,4.31436481687805
"pvalue",1.60662460601833e-17,0.0876380181651873,0.385213705589683,2.13716390827067e-07,6.45553156249055e-05,0.000720812637774029,1.99323090077091e-12,1.0240770539335e-10,2.31281691829602e-15,0.0118744717777068,2.08592637747358e-11,1.39710804702575e-06,0.00874639684393751,4.48648980714179e-05
"mean_diff",0.047375243902439,-0.012285243902439,-0.0107731707317073,0.960987804878049,-0.290923170731707,0.670062195121951,-2.40388780487805,-1.6456756097561,-4.04954756097561,0.0220664634146341,-0.184662195121951,1.03204268292683,-0.0299963414634146,0.0964512195121951
"lower_bound",0.0387144180001425,-0.0264236417005706,-0.0353251387375814,0.623705303636933,-0.428260388802739,0.290871744669115,-2.98069607166882,-2.08687160795961,-4.87354218332549,0.0050092430079566,-0.231921703246176,0.638054063094616,-0.0522081693050019,0.0519701242665173
"upper_bound",0.0560360698047356,0.00185315389569251,0.0137787972741668,1.29827030611917,-0.153585952660676,1.04925264557479,-1.82707953808727,-1.20447961155259,-3.22555293862574,0.0391236838213117,-0.137402686997727,1.42603130275904,-0.00778451362182733,0.140932314757873
"effsize",0.772630190096742,-0.119555468780068,-0.0230284555641812,0.170048116743629,-0.116666878252484,0.0981780510074911,-0.0746457538263414,-0.0614042570744769,-0.0741663300398669,0.134628019245565,-0.481076254036622,0.294071284063964,-0.0539486586516179,0.180462720008834
"eff_low",0.612888997388197,-0.256597006308672,-0.0751221469128226,0.110387901261291,-0.171513552870099,0.0429040776235016,-0.0924468400181017,-0.0777579103595715,-0.0891645960182732,0.0308775743753512,-0.61014532013585,0.180269120595223,-0.0936250726774179,0.0971938547400106
"eff_up",0.932371382805287,0.0174860687485356,0.0290652357844601,0.229708332225966,-0.061820203634869,0.15345202439148,-0.0568446676345812,-0.0450506037893823,-0.0591680640614606,0.238378464115779,-0.352007187937394,0.407873447532706,-0.0142722446258178,0.263731585277658
"pwr",0.999999632356803,0.187916803621537,0.0548786649891952,0.330812861291552,0.181167329346154,0.14201876757141,0.102473542663769,0.0852436094347108,0.101787245866974,0.225816234470693,0.990465356580451,0.748978977390964,0.0770987127577666,0.365157194305339
