"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",-1.33571432953623,-0.461656914724524,-0.469491350168843,1.48130730269943,-1.13507545936388,0.391325774026575,0.253317706267421,-0.574372577568543,-0.28651111656083,0.271839787352498,1.18501979948356,0.242897414529804,-0.464370984968683,-0.574248263342893
"pvalue",0.190544072341983,0.647402377987692,0.641754036268448,0.150556650561287,0.264652091055521,0.698633136221074,0.801799672925293,0.569529339217938,0.776237228211427,0.788222891794631,0.245325937242327,0.80957865965658,0.645987807668447,0.569630578140845
"mean_diff_male",-0.0243885669846379,-0.00648687388605915,-0.00181136547021995,0.0189273109552926,-0.0248428152153228,0.00138175890775606,0.000622406570701916,-0.00171793441535468,-0.000451729256407833,0.00468902668233771,0.00985508857973638,0.00866916864289876,-0.00212830838951209,-0.00270071023663974
"mean_diff_female",0.0243885669846379,0.00648687388605916,0.00181136547021995,-0.0189273109552926,0.0248428152153229,-0.00138175890775606,-0.000622406570701913,0.00171793441535468,0.000451729256407832,-0.00468902668233771,-0.00985508857973638,-0.00866916864289874,0.00212830838951209,0.00270071023663974
"lower_bound",-0.122998725975705,-0.0701820964120577,-0.0193115730882296,-0.0146770600488274,-0.138797090582482,-0.0117275836519194,-0.00880300531188347,-0.015596543509249,-0.00731337337830464,-0.0620734493774605,-0.0142605945517217,-0.127852417940472,-0.0230367826770431,-0.0245263603310131
"upper_bound",0.0254444580371531,0.0442346008678211,0.0120661112073498,0.0903863038699978,0.0394258297211906,0.0172546192829437,0.0112926315946911,0.00872480584783027,0.00550645635267331,0.0808295561068114,0.0536809488706673,0.162529092512067,0.0145235491189947,0.0137235193844541
"effsize",-0.445238109845411,-0.153885638241508,-0.156497116722948,0.49376910089981,-0.378358486454627,0.130441924675525,0.0844392354224736,-0.191457525856181,-0.0955037055202766,0.0906132624508327,0.395006599827854,0.0809658048432679,-0.154790328322894,-0.191416087780964
"eff_low",-1.13099462830164,-0.832302341213404,-0.834948085896087,-0.193890709031376,-1.06180741215998,-0.547692921514693,-0.593277406115282,-0.870422545312625,-0.773304598960228,-0.587149115643053,-0.288982409967627,-0.596726522693563,-0.83321883699527,-0.870380437048476
"eff_up",0.240518408610818,0.524531064730388,0.521953852450191,1.181428910831,0.305090439250727,0.808576770865743,0.762155876960229,0.487507493600263,0.582297187919674,0.768375640544719,1.07899560962334,0.758658132380099,0.523638180349481,0.487548261486547
"pwr",0.461463038917516,0.0986950923954509,0.100397369566872,0.542289116037146,0.353382358372042,0.0847741844109682,0.0644227121009221,0.126152938254181,0.0684905047764898,0.0666287965906964,0.379542494952516,0.0632520357833112,0.0992813476797633,0.126119122610806
