"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",4.16600312708304,-0.46643108877692,1.74741444709546,4.80701076355968,-1.6347798079072,3.98920940001193,-4.85737390407727,-3.15642063879782,-5.80868256255245,2.62382477978535,-8.45553838072617,5.4672067789999,1.74434986397044,5.18985067854098
"pvalue",7.7016650124115e-05,0.642158995123202,0.0843553645993924,6.95208807854502e-06,0.105975920227438,0.000144610108981335,5.71319109101594e-06,0.002243243751773,1.18967754362372e-07,0.010388137860469,9.47901872773958e-13,4.93500454923273e-07,0.084891423286835,1.52715988788822e-06
"mean_diff",0.022449512195122,-0.00349097560975608,0.0276365853658536,0.925075609756098,-0.155741463414634,0.769340243902439,-1.68844512195122,-1.27458658536585,-2.96303414634146,0.0273330487804878,-0.223613414634146,1.06546341463415,0.024209756097561,0.147680487804878
"lower_bound",0.0117276077653026,-0.0183826639928504,-0.0038316996886102,0.542174389137183,-0.345294000247076,0.385618657020311,-2.38006908036915,-2.0780370082252,-3.97798176198819,0.00660598127357673,-0.276232246553025,0.677708191549454,-0.0034050140792782,0.0910627033969813
"upper_bound",0.0331714166249413,0.0114007127733382,0.0591048704203174,1.30797683037501,0.0338110734178077,1.15306183078457,-0.996821163533294,-0.471136162506508,-1.94808653069472,0.0480601162873989,-0.170994582715268,1.45321863771884,0.0518245262744002,0.204298272212775
"effsize",0.372196537707614,-0.035683444553647,0.0579177920048093,0.176911589834863,-0.0852355561335063,0.123001630518109,-0.0533087148878523,-0.0493932089989903,-0.0566847223025313,0.169203727334859,-0.565407114788876,0.304752308968662,0.0455576965290707,0.26560807210565
"eff_low",0.189764950103986,-0.186803492490501,-0.00758873499786067,0.103670030766632,-0.188381819882425,0.061884197580944,-0.0749962204433314,-0.0803133660024371,-0.075970695643145,0.0409511480839101,-0.707615148113983,0.192151206378849,-0.00604328797355428,0.162778359596254
"eff_up",0.554628125311241,0.115436603383207,0.123424319007479,0.250153148903095,0.017910707615412,0.184119063455274,-0.0316212093323731,-0.0184730519955436,-0.0373987489619175,0.297456306585809,-0.423199081463769,0.417353411558475,0.0971586810316956,0.368437784615047
"pwr",0.914687121654583,0.0617602883055844,0.0812967387889342,0.353304324401514,0.118843642827689,0.19618847166121,0.0764511296894809,0.0726648047863546,0.0799590076845502,0.32808658763127,0.99902744675769,0.778410207558447,0.0692473172474626,0.661530738545655
