"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",3.34702694641201,0.268413992125904,3.0377087731401,4.08680246695258,-1.26182722048313,3.04552569249666,-2.89161927690311,-2.70959845609878,-4.5325652541421,2.26710631806624,-6.33255956986812,6.97577938082718,3.05764413880704,4.09279761494244
"pvalue",0.00200491521631452,0.79000259649265,0.00455708286129468,0.000252314831905884,0.21559899298138,0.00446532128652543,0.00663666009059559,0.0104758957819645,6.87546964856942e-05,0.0298582876309099,3.19688902770948e-07,4.79708590469862e-08,0.00432651280091963,0.000247991408370649
"mean_diff",0.0246374285714286,0.00222971428571431,0.0533399999999999,0.961351428571429,-0.182845714285714,0.778520000000001,-1.71093714285715,-1.76186571428571,-3.47281714285714,0.0348551428571429,-0.208348571428571,1.04788857142857,0.0394657142857143,0.162331428571429
"lower_bound",0.00967809907105895,-0.0146521351983643,0.0176552355204369,0.483300145682816,-0.477329137116889,0.259022496074161,-2.91339233539655,-3.08329469427098,-5.02990748236989,0.00361083281819755,-0.275211778262759,0.742608590597242,0.0132350682319401,0.0817271120521944
"upper_bound",0.0395967580717982,0.019111563769793,0.089024764479563,1.43940271146004,0.11163770854546,1.29801750392584,-0.508481950317743,-0.44043673430044,-1.91572680334438,0.0660994528960882,-0.141485364594384,1.3531685522599,0.0656963603394885,0.242935745090663
"effsize",0.403057797347229,0.0236904530440717,0.114261227878521,0.171988441583308,-0.0859918577416129,0.112371982170548,-0.0553152130053128,-0.0745821627257812,-0.0727168091441266,0.220974809287272,-0.461082346900344,0.548428809426657,0.0777377791945481,0.370683119178239
"eff_low",0.153189193967358,-0.152456085018501,0.0389585168226897,0.087392665916957,-0.22223159199143,0.0385122984269182,-0.0935167120302888,-0.129584115571866,-0.104772789963388,0.0241164771639937,-0.613902396587719,0.38016353750396,0.0269282349124454,0.183849072147784
"eff_up",0.652926400727101,0.199836991106644,0.189563938934353,0.256584217249659,0.0502478765082047,0.186231665914177,-0.0171137139803369,-0.0195802098796963,-0.0406608283248657,0.417833141410551,-0.308262297212969,0.716694081349354,0.128547323476651,0.557517166208695
"pwr",0.63939489657783,0.0521289953937064,0.100738712908178,0.167364338349095,0.0784531997139345,0.0990404638325163,0.0616710170077919,0.0713272486131246,0.0702626003371852,0.245893245681651,0.754935041118404,0.883306042257956,0.0731922900729782,0.567845507286074
