"","Accumbens","Amygdala","Caudate","Cerebelum.GM","Cerebelum.WM","Cerebelum","Cerebrum.GM","Cerebrum.WM","Cerebrum","Globus.Pallidus","Hippocampus","Lateral.ventricles","Putamen","Thalamus"
"t",-0.748933831462138,1.66259664166293,0.86708065496397,0.773839490313179,-0.697955482843937,0.305118420775045,-0.0086542487296325,0.279701096152629,0.244436247846495,-0.400350329275378,0.940729294584844,0.264175110229866,0.48399111070812,-0.275120107653538
"pvalue",0.459286516881831,0.106175003312209,0.392328041874869,0.444829394545929,0.490914150089477,0.762309913991266,0.993147985987367,0.781456612836314,0.808492930289779,0.691565522312137,0.356434368984412,0.793350439125879,0.63172533564176,0.784967335530836
"mean_diff_male",-0.0165936266052134,0.014631041347713,0.00366998218878208,0.00331420919953386,-0.00601755413895465,0.00114046511131958,-1.41194129341541e-05,0.000740956508407432,0.000312365877988105,-0.00489378548052318,0.00977416596700254,0.00775540858419396,0.00133717874507338,-0.00169357946295068
"mean_diff_female",0.017569722287873,-0.0154916908387549,-0.00388586349400455,-0.00350916268185938,0.00637152791183433,-0.00120755129433838,1.49499666361638e-05,-0.000784542185372574,-0.000330740341399171,0.0051816552146716,-0.010349116906238,-0.00821160908914654,-0.001415836318313,0.00179320178430071
"lower_bound",-0.127025994467662,-0.00678451841666719,-0.0101914806692543,-0.0111528940247352,-0.0487359595939892,-0.0133452370912126,-0.00686737276732894,-0.00957179348913409,-0.00472135245441426,-0.0613431409847255,-0.0240808130649993,-0.107180154564233,-0.00883853588025977,-0.0292876750799947
"upper_bound",0.0586992966814888,0.0670299827896031,0.0253031720348275,0.0247996377875216,0.0239577954924112,0.0180412699025285,0.0068092340081883,0.0126227908766941,0.00600756489318882,0.041192259594336,0.0643273788114804,0.139114189910914,0.0143445660070325,0.022314112585492
"effsize",-0.25379320084658,0.558352421360953,0.291333443127215,0.263058223811353,-0.238534379591277,0.10377177246218,-0.00291067662119268,0.0945651519193078,0.0819511305283183,-0.134440093445236,0.323724713342536,0.0897057716747471,0.164405614269951,-0.0932361404607636
"eff_low",-0.944627967616229,-0.142988300885889,-0.400376587806485,-0.427981455014558,-0.929047561242132,-0.584763399137713,-0.690983647940664,-0.593891605194095,-0.606409998443578,-0.823288898400153,-0.368836351549446,-0.598712529178878,-0.524827444081609,-0.781682178731418
"eff_up",0.437041565923068,1.2596931436078,0.983043474060916,0.954097902637265,0.451978802059577,0.792306944062073,0.685162294698279,0.783021909032711,0.770312259500214,0.554408711509681,1.01628577823452,0.778124072528372,0.853638672621512,0.595209897809891
"pwr",0.181883749284568,0.634101179662005,0.224890065509674,0.191947818310659,0.166116185387618,0.0712375919419442,0.0500165098445653,0.0676027147947734,0.0631882714741487,0.0859021869351673,0.266536537185231,0.0658250064688538,0.104112232948405,0.0671068877993947
